filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia558	DISEASE	137	149	hypertension	
casos_clinicos_cardiologia558	DISEASE	151	153	HT	
casos_clinicos_cardiologia558	DISEASE	156	169	dyslipidaemia	
casos_clinicos_cardiologia558	DISEASE	174	177	DM2	
casos_clinicos_cardiologia558	DISEASE	179	193	Hyperuricaemia	
casos_clinicos_cardiologia558	DISEASE	195	248	Significant stenosis of right internal carotid artery	
casos_clinicos_cardiologia558	DISEASE	728	746	progressive angina	
casos_clinicos_cardiologia558	DISEASE	1057	1072	Central obesity	
casos_clinicos_cardiologia558	DISEASE	1748	1811	Non-dilated left ventricle with moderate concentric hypertrophy	
casos_clinicos_cardiologia558	DISEASE	1993	2005	valvulopathy	
casos_clinicos_cardiologia558	DISEASE	2185	2208	tricuspid insufficiency	
casos_clinicos_cardiologia558	DISEASE	2210	2212	TI	
casos_clinicos_cardiologia558	DISEASE	2265	2285	pericardial effusion	
casos_clinicos_cardiologia558	DISEASE	2312	2381	severe stenosis of 65% of the distal left main coronary artery (LMCA)	
casos_clinicos_cardiologia558	DISEASE	2383	2437	70% stenosis of the proximal anterior descending (LAD)	
casos_clinicos_cardiologia558	DISEASE	2439	2491	90% stenosis in the middle segment of the circumflex	
casos_clinicos_cardiologia558	DISEASE	2965	2989	significant LMCA disease	
casos_clinicos_cardiologia558	DISEASE	2994	3014	three-vessel disease	
casos_clinicos_cardiologia558	DISEASE	3082	3085	DM2	
casos_clinicos_cardiologia558	DISEASE	5317	5324	smoking	
casos_clinicos_cardiologia558	DISEASE	5496	5527	Chronic ischaemic heart disease	
casos_clinicos_cardiologia558	DISEASE	5529	5547	Progressive angina	
casos_clinicos_cardiologia558	DISEASE	5553	5581	multivessel coronary disease	
casos_clinicos_cardiologia558	DISEASE	5674	5705	familial combined dyslipidaemia	
casos_clinicos_cardiologia558	DISEASE	5725	5749	type 2 diabetes mellitus	
casos_clinicos_cardiologia301	DISEASE	23	52	excessive cocaine consumption	
casos_clinicos_cardiologia301	DISEASE	69	88	peripheral embolism	
casos_clinicos_cardiologia301	DISEASE	405	418	heart disease	
casos_clinicos_cardiologia301	DISEASE	447	470	allergic drug reactions	
casos_clinicos_cardiologia301	DISEASE	512	524	Toxic habits	
casos_clinicos_cardiologia301	DISEASE	526	584	sporadic consumption of alcohol and other toxic substances	
casos_clinicos_cardiologia301	DISEASE	590	596	smoker	
casos_clinicos_cardiologia301	DISEASE	598	613	Coeliac disease	
casos_clinicos_cardiologia301	DISEASE	736	751	coeliac disease	
casos_clinicos_cardiologia301	DISEASE	908	956	acute arterial ischaemia of the right upper limb	
casos_clinicos_cardiologia301	DISEASE	1081	1127	proximal occlusion of the right humeral artery	
casos_clinicos_cardiologia301	DISEASE	1229	1280	left ventricle suggestive of intracavitary thrombus	
casos_clinicos_cardiologia301	DISEASE	1323	1382	consumption of high doses of toxic alpha-agonists (cocaine)	
casos_clinicos_cardiologia301	DISEASE	1742	1756	apical thrombi	
casos_clinicos_cardiologia301	DISEASE	2081	2097	coronary lesions	
casos_clinicos_cardiologia301	DISEASE	3036	3056	deep vein thrombosis	
casos_clinicos_cardiologia301	DISEASE	3315	3361	proximal occlusion of the right humeral artery	
casos_clinicos_cardiologia301	DISEASE	3482	3490	thrombus	
casos_clinicos_cardiologia301	DISEASE	3810	3824	apical thrombi	
casos_clinicos_cardiologia301	DISEASE	5704	5771	Tricuspid valve: morphologically normal, with trivial insufficiency	
casos_clinicos_cardiologia301	DISEASE	5832	5854	pulmonary hypertension	
casos_clinicos_cardiologia301	DISEASE	6028	6046	intracardiac shunt	
casos_clinicos_cardiologia301	DISEASE	6446	6469	thrombus in the LV apex	
casos_clinicos_cardiologia301	DISEASE	6550	6617	arterial occlusions in the common iliac and left popliteal arteries	
casos_clinicos_cardiologia301	DISEASE	6619	6659	Renal infarction in the right lower pole	
casos_clinicos_cardiologia301	DISEASE	7031	7056	pericardial abnormalities	
casos_clinicos_cardiologia301	DISEASE	7234	7256	intracavitary thrombus	
casos_clinicos_cardiologia301	DISEASE	7475	7495	ventricular thrombus	
casos_clinicos_cardiologia301	DISEASE	7508	7525	myocardial oedema	
casos_clinicos_cardiologia301	DISEASE	7561	7584	ischaemic heart disease	
casos_clinicos_cardiologia301	DISEASE	7614	7732	partial anomalous pulmonary venous drainage with left superior pulmonary vein draining into left brachiocephalic trunk	
casos_clinicos_cardiologia301	DISEASE	7859	7911	peripheral arterial embolism in the right upper limb	
casos_clinicos_cardiologia301	DISEASE	7938	7984	proximal occlusion of the right humeral artery	
casos_clinicos_cardiologia301	DISEASE	8086	8111	intraventricular thrombus	
casos_clinicos_cardiologia301	DISEASE	8271	8286	apical thrombus	
casos_clinicos_cardiologia301	DISEASE	8428	8442	apical thrombi	
casos_clinicos_cardiologia301	DISEASE	8483	8510	acute myocardial infarction	
casos_clinicos_cardiologia301	DISEASE	8836	8873	embolic event in the right lower limb	
casos_clinicos_cardiologia301	DISEASE	9185	9193	thrombus	
casos_clinicos_cardiologia301	DISEASE	9543	9602	Cocaine-induced stress cardiomyopathy (tako-tsubo syndrome)	
casos_clinicos_cardiologia301	DISEASE	9582	9601	tako-tsubo syndrome	
casos_clinicos_cardiologia301	DISEASE	9604	9629	Intraventricular thrombus	
casos_clinicos_cardiologia301	DISEASE	9682	9742	Proximal occlusion of right humeral artery of embolic nature	
casos_clinicos_cardiologia301	DISEASE	9942	9969	lower pole renal infarction	
casos_clinicos_cardiologia301	DISEASE	9971	10089	Partial anomalous pulmonary venous drainage with left superior pulmonary vein draining into left brachiocephalic trunk	
casos_clinicos_cardiologia86	DISEASE	93	114	arterial hypertension	
casos_clinicos_cardiologia86	DISEASE	116	140	type 2 diabetes mellitus	
casos_clinicos_cardiologia86	DISEASE	156	165	allergies	
casos_clinicos_cardiologia86	DISEASE	951	1022	ischaemic lesion in the most posterior portion of the left parietal lob	
casos_clinicos_cardiologia86	DISEASE	1119	1135	ischaemic lesion	
casos_clinicos_cardiologia86	DISEASE	1366	1469	significant stenosis data are seen in the carotid bulbs or in the internal or external carotid arteries	
casos_clinicos_cardiologia86	DISEASE	1550	1583	lesions in the left MCA territory	
casos_clinicos_cardiologia86	DISEASE	1629	1652	acute ischaemic lesions	
casos_clinicos_cardiologia86	DISEASE	1843	1846	LVH	
casos_clinicos_cardiologia86	DISEASE	1970	1973	PFO	
casos_clinicos_cardiologia86	DISEASE	2123	2168	left parietal and frontal cerebral infarction	
casos_clinicos_cardiologia86	DISEASE	2373	2393	horizontal nystagmus	
casos_clinicos_cardiologia86	DISEASE	2512	2555	acute infarction in the left PICA territory	
casos_clinicos_cardiologia86	DISEASE	2709	2755	cryptogenetic left cerebellar ischaemic stroke	
casos_clinicos_cardiologia86	DISEASE	2840	2862	dilatation of cavities	
casos_clinicos_cardiologia86	DISEASE	2864	2898	Thinning of the interatrial septum	
casos_clinicos_cardiologia86	DISEASE	3314	3336	cardioembolic episodes	
casos_clinicos_cardiologia86	DISEASE	3349	3369	Patent foramen ovale	
casos_clinicos_cardiologia86	DISEASE	3370	3408	Recurrent cryptogenic ischaemic stroke	
casos_clinicos_cardiologia415	DISEASE	100	109	allergies	
casos_clinicos_cardiologia415	DISEASE	174	201	acute myocardial infarction	
casos_clinicos_cardiologia415	DISEASE	203	206	AMI	
casos_clinicos_cardiologia415	DISEASE	471	495	ventricular fibrillation	
casos_clinicos_cardiologia415	DISEASE	497	499	VF	
casos_clinicos_cardiologia415	DISEASE	614	650	rhythmic tachycardia with narrow QRS	
casos_clinicos_cardiologia415	DISEASE	755	765	infarction	
casos_clinicos_cardiologia415	DISEASE	849	866	proximal stenosis	
casos_clinicos_cardiologia415	DISEASE	951	967	coronary lesions	
casos_clinicos_cardiologia415	DISEASE	1271	1274	BRD	
casos_clinicos_cardiologia415	DISEASE	2208	2253	Anterior descending: slight proximal stenosis	
casos_clinicos_cardiologia415	DISEASE	2414	2434	Mitral insufficiency	
casos_clinicos_cardiologia415	DISEASE	2436	2438	MI	
casos_clinicos_cardiologia415	DISEASE	2481	2483	EV	
casos_clinicos_cardiologia415	DISEASE	2511	2513	it	
casos_clinicos_cardiologia415	DISEASE	2803	2816	RV dilatation	
casos_clinicos_cardiologia415	DISEASE	2832	2858	pailary muscle hyperplasia	
casos_clinicos_cardiologia415	DISEASE	2893	2916	tricuspid insufficiency	
casos_clinicos_cardiologia415	DISEASE	2918	2920	TI	
casos_clinicos_cardiologia415	DISEASE	3261	3297	Mild pulmonary arterial hypertension	
casos_clinicos_cardiologia415	DISEASE	3299	3302	PAH	
casos_clinicos_cardiologia415	DISEASE	3357	3395	Mild dilatation of the right ventricle	
casos_clinicos_cardiologia415	DISEASE	3867	3880	RV dilatation	
casos_clinicos_cardiologia415	DISEASE	3900	3950	hyperplasia of papillary muscles and anterior wall	
casos_clinicos_cardiologia415	DISEASE	3969	4013	slight increase in pulmonary artery diameter	
casos_clinicos_cardiologia415	DISEASE	4020	4023	PAH	
casos_clinicos_cardiologia415	DISEASE	4168	4184	Brugada syndrome	
casos_clinicos_cardiologia415	DISEASE	4246	4296	cardiorespiratory arrest (CRP) due to VF recovered	
casos_clinicos_cardiologia415	DISEASE	4272	4275	CRP	
casos_clinicos_cardiologia415	DISEASE	4300	4316	Brugada syndrome	
casos_clinicos_cardiologia415	DISEASE	4370	4383	CRA due to VF	
casos_clinicos_cardiologia415	DISEASE	4432	4448	Brugada syndrome	
casos_clinicos_cardiologia176	DISEASE	94	117	ischaemic heart disease	
casos_clinicos_cardiologia176	DISEASE	135	162	acute myocardial infarction	
casos_clinicos_cardiologia176	DISEASE	193	224	chronic ischaemic heart disease	
casos_clinicos_cardiologia176	DISEASE	255	269	drug allergies	
casos_clinicos_cardiologia176	DISEASE	271	292	Arterial hypertension	
casos_clinicos_cardiologia176	DISEASE	321	350	Diabetes mellitus (DM) type 2	
casos_clinicos_cardiologia176	DISEASE	340	342	DM	
casos_clinicos_cardiologia176	DISEASE	455	485	familial hypercholesterolaemia	
casos_clinicos_cardiologia176	DISEASE	487	569	Chronic ischaemic heart disease with completely revascularised multivessel disease	
casos_clinicos_cardiologia176	DISEASE	644	692	non-ST-segment elevation acute coronary syndrome	
casos_clinicos_cardiologia176	DISEASE	694	701	NSTEACS	
casos_clinicos_cardiologia176	DISEASE	710	743	non-Q acute myocardial infarction	
casos_clinicos_cardiologia176	DISEASE	745	748	AMI	
casos_clinicos_cardiologia176	DISEASE	790	809	multivessel disease	
casos_clinicos_cardiologia176	DISEASE	816	904	severe lesion in the distal trunk affecting the origin of the anterior descending artery	
casos_clinicos_cardiologia176	DISEASE	915	977	severe lesion in the middle third of the right coronary artery	
casos_clinicos_cardiologia176	DISEASE	1248	1269	hypercholesterolaemia	
casos_clinicos_cardiologia176	DISEASE	1501	1518	myocardial damage	
casos_clinicos_cardiologia176	DISEASE	1629	1649	pericardial effusion	
casos_clinicos_cardiologia176	DISEASE	1833	1852	Dressler's syndrome	
casos_clinicos_cardiologia176	DISEASE	2068	2081	effort angina	
casos_clinicos_cardiologia176	DISEASE	2202	2222	hypercholesterolemia	
casos_clinicos_cardiologia176	DISEASE	2302	2314	meniscopathy	
casos_clinicos_cardiologia176	DISEASE	2430	2433	AMI	
casos_clinicos_cardiologia176	DISEASE	2535	2541	angina	
casos_clinicos_cardiologia176	DISEASE	3219	3239	deep vein thrombosis	
casos_clinicos_cardiologia176	DISEASE	3241	3244	DVT	
casos_clinicos_cardiologia176	DISEASE	3488	3503	acute ischaemia	
casos_clinicos_cardiologia176	DISEASE	3609	3637	Left atrium slightly dilated	
casos_clinicos_cardiologia176	DISEASE	3694	3716	valvular heart disease	
casos_clinicos_cardiologia176	DISEASE	3815	3848	segmental contractility disorders	
casos_clinicos_cardiologia176	DISEASE	4008	4028	pericardial effusion	
casos_clinicos_cardiologia176	DISEASE	5109	5130	hypercholesterolaemia	
casos_clinicos_cardiologia176	DISEASE	5678	5771	Chronic ischaemic heart disease with completely surgically revascularised multivessel disease	
casos_clinicos_cardiologia176	DISEASE	5831	5860	familial hypercholesterolemia	
casos_clinicos_cardiologia176	DISEASE	5888	5909	Arterial hypertension	
casos_clinicos_cardiologia176	DISEASE	5914	5938	type 2 diabetes mellitus	
casos_clinicos_cardiologia251	DISEASE	69	81	hypertensive	
casos_clinicos_cardiologia251	DISEASE	86	106	hypercholesterolemic	
casos_clinicos_cardiologia251	DISEASE	858	869	hypotension	
casos_clinicos_cardiologia251	DISEASE	950	975	Poor peripheral perfusion	
casos_clinicos_cardiologia251	DISEASE	1242	1278	hyperlactacidemic metabolic acidosis	
casos_clinicos_cardiologia251	DISEASE	1753	1775	infective endocarditis	
casos_clinicos_cardiologia251	DISEASE	1777	1779	IE	
casos_clinicos_cardiologia251	DISEASE	1858	1875	right hemiparesis	
casos_clinicos_cardiologia251	DISEASE	1965	2057	2 x 2 cm intraparenchymal cerebral haemorrhage at the level of the left prerirolandic cortex	
casos_clinicos_cardiologia251	DISEASE	2288	2310	infective endocarditis	
casos_clinicos_cardiologia251	DISEASE	2381	2398	mycotic aneurysms	
casos_clinicos_cardiologia251	DISEASE	2488	2500	endocarditis	
casos_clinicos_cardiologia251	DISEASE	2852	2870	periaortic abscess	
casos_clinicos_cardiologia251	DISEASE	2998	3115	infective endocarditis (1 major and 3 minor criteria) due to S. aureus on the prosthetic aortic valve and valved tube	
casos_clinicos_cardiologia251	DISEASE	3228	3245	aortic vegetation	
casos_clinicos_cardiologia251	DISEASE	3444	3465	intracranial bleeding	
casos_clinicos_cardiologia251	DISEASE	3766	3786	arterial hypotension	
casos_clinicos_cardiologia251	DISEASE	3793	3809	syncopal episode	
casos_clinicos_cardiologia251	DISEASE	3858	3876	acute anaemisation	
casos_clinicos_cardiologia251	DISEASE	4066	4081	haemoperitoneum	
casos_clinicos_cardiologia251	DISEASE	4095	4112	splenic haematoma	
casos_clinicos_cardiologia251	DISEASE	4192	4205	acute abdomen	
casos_clinicos_cardiologia251	DISEASE	4280	4295	haemoperitoneum	
casos_clinicos_cardiologia251	DISEASE	4300	4321	acute splenic rupture	
casos_clinicos_cardiologia251	DISEASE	4490	4505	splenic rupture	
casos_clinicos_cardiologia251	DISEASE	4522	4537	septic embolism	
casos_clinicos_cardiologia251	DISEASE	4635	4647	rectorrhagia	
casos_clinicos_cardiologia251	DISEASE	4653	4660	anaemia	
casos_clinicos_cardiologia251	DISEASE	4810	4828	stress gastropathy	
casos_clinicos_cardiologia251	DISEASE	4843	4858	duodenal ulcers	
casos_clinicos_cardiologia251	DISEASE	5171	5193	infective endocarditis	
casos_clinicos_cardiologia251	DISEASE	5443	5470	severe arterial hypotension	
casos_clinicos_cardiologia251	DISEASE	5550	5567	cardiac tamponade	
casos_clinicos_cardiologia251	DISEASE	5786	5858	pericardial haematoma measuring 6 x 7 x 9 cm, involving the right atrium	
casos_clinicos_cardiologia251	DISEASE	6114	6153	infective endocarditis due to S. aureus	
casos_clinicos_cardiologia251	DISEASE	6224	6279	Late prosthetic infective endocarditis due to S. aureus	
casos_clinicos_cardiologia251	DISEASE	6353	6419	Intraparenchymal cerebral haemorrhage secondary to septic embolism	
casos_clinicos_cardiologia251	DISEASE	6421	6457	Acute abdomen due to splenic rupture	
casos_clinicos_cardiologia251	DISEASE	6465	6480	septic embolism	
casos_clinicos_cardiologia251	DISEASE	6482	6549	Upper gastrointestinal bleeding secondary to duodenal stress ulcers	
casos_clinicos_cardiologia251	DISEASE	6573	6604	Post-surgical cardiac tamponade	
casos_clinicos_cardiologia153	DISEASE	72	84	hypertension	
casos_clinicos_cardiologia153	DISEASE	89	102	dyslipidaemia	
casos_clinicos_cardiologia153	DISEASE	279	307	lower right facial paralysis	
casos_clinicos_cardiologia153	DISEASE	596	627	left frontoparietal haemorrhage	
casos_clinicos_cardiologia153	DISEASE	650	674	subarachnoid haemorrhage	
casos_clinicos_cardiologia153	DISEASE	1144	1175	platypnoea-orthodeoxia syndrome	
casos_clinicos_cardiologia153	DISEASE	1230	1295	tricuspid valve with atrial displacement and severe insufficiency	
casos_clinicos_cardiologia153	DISEASE	1312	1329	Ebstein's disease	
casos_clinicos_cardiologia153	DISEASE	1347	1454	ostium secundum atrial septal defect (ASD-OS) was observed in the posterior septum with bidirectional shunt	
casos_clinicos_cardiologia153	DISEASE	1385	1391	ASD-OS	
casos_clinicos_cardiologia153	DISEASE	1479	1492	heart disease	
casos_clinicos_cardiologia153	DISEASE	1613	1640	extensive cerebral bleeding	
casos_clinicos_cardiologia153	DISEASE	1715	1747	compensated respiratory acidosis	
casos_clinicos_cardiologia153	DISEASE	1811	1836	right bundle branch block	
casos_clinicos_cardiologia153	DISEASE	1904	1933	left frontoparietal haematoma	
casos_clinicos_cardiologia153	DISEASE	1955	1979	subarachnoid haemorrhage	
casos_clinicos_cardiologia153	DISEASE	2093	2128	severe right atrial (RA) dilatation	
casos_clinicos_cardiologia153	DISEASE	2262	2355	Atrial septal defect (ASD) ostium secundum in posterior septum 15 mm with bidirectional shunt	
casos_clinicos_cardiologia153	DISEASE	2407	2456	cardiomegaly at the expense of the right cavities	
casos_clinicos_cardiologia153	DISEASE	2464	2480	pleural effusion	
casos_clinicos_cardiologia153	DISEASE	2509	2572	right PTE with extensive pulmonary infarction in the lower lobe	
casos_clinicos_cardiologia153	DISEASE	3178	3197	pulmonary pathology	
casos_clinicos_cardiologia153	DISEASE	3244	3317	right pulmonary thromboembolism (PTE) with extensive pulmonary infarction	
casos_clinicos_cardiologia153	DISEASE	3277	3280	PTE	
casos_clinicos_cardiologia153	DISEASE	3392	3409	cerebral bleeding	
casos_clinicos_cardiologia153	DISEASE	3426	3429	PTE	
casos_clinicos_cardiologia153	DISEASE	3594	3606	brain bleeds	
casos_clinicos_cardiologia153	DISEASE	3616	3637	embolic complications	
casos_clinicos_cardiologia153	DISEASE	3657	3666	severe TR	
casos_clinicos_cardiologia153	DISEASE	3677	3683	OS-ASD	
casos_clinicos_cardiologia153	DISEASE	3740	3748	embolism	
casos_clinicos_cardiologia153	DISEASE	3760	3766	stroke	
casos_clinicos_cardiologia153	DISEASE	3771	3774	PTE	
casos_clinicos_cardiologia153	DISEASE	3812	3815	ASD	
casos_clinicos_cardiologia153	DISEASE	3942	4001	Left frontoparietal stroke with haemorrhagic transformation	
casos_clinicos_cardiologia153	DISEASE	4004	4021	Cardioembolic PTE	
casos_clinicos_cardiologia153	DISEASE	4024	4041	Ebstein's anomaly	
casos_clinicos_cardiologia153	DISEASE	4046	4090	ASD ostium secundum with bidirectional shunt	
casos_clinicos_cardiologia103	DISEASE	292	306	Diverticulitis	
casos_clinicos_cardiologia103	DISEASE	358	365	syncope	
casos_clinicos_cardiologia103	DISEASE	746	754	asystole	
casos_clinicos_cardiologia103	DISEASE	1720	1728	Asystole	
casos_clinicos_cardiologia103	DISEASE	1809	1817	asystole	
casos_clinicos_cardiologia103	DISEASE	1819	1829	presyncope	
casos_clinicos_cardiologia103	DISEASE	1833	1840	syncope	
casos_clinicos_cardiologia103	DISEASE	2072	2080	asystole	
casos_clinicos_cardiologia593	DISEASE	62	76	drug allergies	
casos_clinicos_cardiologia593	DISEASE	78	96	Tuberous sclerosis	
casos_clinicos_cardiologia593	DISEASE	101	109	epilepsy	
casos_clinicos_cardiologia593	DISEASE	236	249	brain lesions	
casos_clinicos_cardiologia593	DISEASE	337	348	Rhabdomyoma	
casos_clinicos_cardiologia593	DISEASE	406	426	Facial angiofibromas	
casos_clinicos_cardiologia593	DISEASE	428	459	Giant subependymal astrocytomas	
casos_clinicos_cardiologia593	DISEASE	473	503	cerebral cortical tuberosities	
casos_clinicos_cardiologia593	DISEASE	505	517	Toxic habits	
casos_clinicos_cardiologia593	DISEASE	681	699	recurrent vomiting	
casos_clinicos_cardiologia593	DISEASE	1345	1365	deep vein thrombosis	
casos_clinicos_cardiologia593	DISEASE	2391	2439	cardia with small longitudinal fibrinous erosion	
casos_clinicos_cardiologia593	DISEASE	2795	2815	erosive oesophagitis	
casos_clinicos_cardiologia593	DISEASE	3890	3899	lithiasis	
casos_clinicos_cardiologia593	DISEASE	4084	4095	renal cysts	
casos_clinicos_cardiologia593	DISEASE	4124	4140	pleural effusion	
casos_clinicos_cardiologia593	DISEASE	4220	4241	chronic liver disease	
casos_clinicos_cardiologia593	DISEASE	4248	4264	pleural effusion	
casos_clinicos_cardiologia593	DISEASE	4266	4277	Renal cysts	
casos_clinicos_cardiologia593	DISEASE	4457	4469	cardiomegaly	
casos_clinicos_cardiologia593	DISEASE	4711	4731	Pericardial effusion	
casos_clinicos_cardiologia593	DISEASE	4785	4801	pleural effusion	
casos_clinicos_cardiologia593	DISEASE	4883	4904	Bilateral renal cysts	
casos_clinicos_cardiologia593	DISEASE	4961	4967	stasis	
casos_clinicos_cardiologia593	DISEASE	5140	5156	pneumoperitoneum	
casos_clinicos_cardiologia593	DISEASE	5192	5208	cardiac overload	
casos_clinicos_cardiologia593	DISEASE	6166	6169	BAV	
casos_clinicos_cardiologia593	DISEASE	6208	6248	intraventricular conduction disturbances	
casos_clinicos_cardiologia593	DISEASE	6341	6363	left atrial dilatation	
casos_clinicos_cardiologia593	DISEASE	6402	6418	pleural effusion	
casos_clinicos_cardiologia593	DISEASE	6449	6503	non-hypertrophic left ventricle (LV), severely dilated	
casos_clinicos_cardiologia593	DISEASE	6721	6740	Dilated left atrium	
casos_clinicos_cardiologia593	DISEASE	6911	6933	Dilated right chambers	
casos_clinicos_cardiologia593	DISEASE	6939	6958	mild RV dysfunction	
casos_clinicos_cardiologia593	DISEASE	6974	7002	Mild tricuspid insufficiency	
casos_clinicos_cardiologia593	DISEASE	7004	7006	TI	
casos_clinicos_cardiologia593	DISEASE	7054	7082	Dilated suprahepatic vessels	
casos_clinicos_cardiologia593	DISEASE	7084	7109	Mild mitral insufficiency	
casos_clinicos_cardiologia593	DISEASE	7111	7113	MI	
casos_clinicos_cardiologia593	DISEASE	7116	7157	Mild circumferential pericardial effusion	
casos_clinicos_cardiologia593	DISEASE	7194	7216	dilated cardiomyopathy	
casos_clinicos_cardiologia593	DISEASE	7218	7221	DCM	
casos_clinicos_cardiologia593	DISEASE	7228	7253	biventricular dysfunction	
casos_clinicos_cardiologia593	DISEASE	7255	7276	Severe LV dysfunction	
casos_clinicos_cardiologia593	DISEASE	7278	7299	Diastolic dysfunction	
casos_clinicos_cardiologia593	DISEASE	7329	7351	Pulmonary hypertension	
casos_clinicos_cardiologia593	DISEASE	7353	7356	PHT	
casos_clinicos_cardiologia593	DISEASE	7359	7384	Mild pericardial effusion	
casos_clinicos_cardiologia593	DISEASE	7797	7824	Left ventricle very dilated	
casos_clinicos_cardiologia593	DISEASE	7916	7924	thrombus	
casos_clinicos_cardiologia593	DISEASE	7927	7956	Moderate pericardial effusion	
casos_clinicos_cardiologia593	DISEASE	7958	7982	Enlarged pulmonary trunk	
casos_clinicos_cardiologia593	DISEASE	8007	8032	pulmonary thromboembolism	
casos_clinicos_cardiologia593	DISEASE	8034	8037	PTE	
casos_clinicos_cardiologia593	DISEASE	8060	8076	pulmonary oedema	
casos_clinicos_cardiologia593	DISEASE	8128	8144	pleural effusion	
casos_clinicos_cardiologia593	DISEASE	8184	8200	coronary lesions	
casos_clinicos_cardiologia593	DISEASE	8280	8335	Left ventricle markedly dilated with severe dysfunction	
casos_clinicos_cardiologia593	DISEASE	8420	8475	Right ventricle equally dilated with severe dysfunction	
casos_clinicos_cardiologia593	DISEASE	8612	8637	Enlargement of both atria	
casos_clinicos_cardiologia593	DISEASE	8656	8695	left atrium (34 cm2, moderately dilated	
casos_clinicos_cardiologia593	DISEASE	8698	8725	Enlarged inferior vena cava	
casos_clinicos_cardiologia593	DISEASE	8735	8764	Moderate pericardial effusion	
casos_clinicos_cardiologia593	DISEASE	8778	8795	myocardial oedema	
